email;phoneNumber;passportId;lastName;firstName;middleName;age;gender
stepanov.sergej@gmail.com;+375292175313;4261130E751PB1;Степанов;Сергей;Павлович;53;MALE
kuzmina.uljana@gmail.com;+375292155847;3200139M513PB8;Кузьмина;Ульяна;Ильинична;55;FEMALE
popova.marjana@gmail.com;+375296666929;4111221E816PB2;Попова;Марьяна;Владимировна;27;FEMALE
morozov.dmitrij@gmail.com;+375295534567;3101208C626PB6;Морозов;Дмитрий;Михайлович;47;MALE
sokolova.polina@gmail.com;+375294418491;4050235E551PB5;Соколова;Полина;Дмитриевна;30;FEMALE
lebedev.lev@gmail.com;+375293595679;6160212C770PB8;Лебедев;Лев;Арсентьевич;22;MALE
novikova.esenija@gmail.com;+375291718935;3220106K891PB1;Новикова;Есения;Михайловна;24;FEMALE
andreeva.elizaveta@gmail.com;+375292495236;5140213K956PB9;Андреева;Елизавета;Глебовна;23;FEMALE
andreeva.olga@gmail.com;+375294457724;4270141C427PB8;Андреева;Ольга;Вячеславовна;46;FEMALE
anisimova.marija@gmail.com;+375291522141;3211109C518PB7;Анисимова;Мария;Егоровна;49;FEMALE
grishin.ilja@gmail.com;+375293783414;6011220K598PB9;Гришин;Илья;Сергеевич;19;MALE
semenov.anatolij@gmail.com;+375294438386;3211243B545PB9;Семенов;Анатолий;Фёдорович;63;MALE
borisov.bilal@gmail.com;+375292414439;6210123K033PB2;Борисов;Билал;Степанович;16;MALE
ivanova.anastasija@gmail.com;+375294485145;3190218C134PB7;Иванова;Анастасия;Серафимовна;26;FEMALE
lopatina.vasilisa@gmail.com;+375294143352;4200171K242PB9;Лопатина;Василиса;Ивановна;45;FEMALE
moiseeva.alisa@gmail.com;+375292986282;5000113C690PB8;Моисеева;Алиса;Ильинична;20;FEMALE
rubtsova.alisa@gmail.com;+375296866139;4081116B198PB8;Рубцова;Алиса;Мироновна;72;FEMALE
tihonov.nikita@gmail.com;+375295859563;6201101H977PB3;Тихонов;Никита;Даниилович;17;MALE
miheev.matvej@gmail.com;+375298511199;3211161H461PB9;Михеев;Матвей;Фёдорович;42;MALE
kuznetsova.kira@gmail.com;+375298898665;4070194E177PB4;Кузнецова;Кира;Александровна;60;FEMALE
pavlova.marija@gmail.com;+375447221743;3161119H882PB9;Павлова;Мария;Павловна;61;FEMALE
ivanova.pelageja@gmail.com;+375443618515;4091277B664PB9;Иванова;Пелагея;Никитична;50;FEMALE
smirnova.diana@gmail.com;+375443579384;4171258C185PB8;Смирнова;Диана;Филипповна;37;FEMALE
bogdanova.sofja@gmail.com;+375446239684;3271236K855PB5;Богданова;Софья;Александровна;66;FEMALE
alekseev.maksim@gmail.com;+375446429183;3121260M251PB3;Алексеев;Максим;Ильич;26;MALE
ivanova.melanija@gmail.com;+375445622819;4131151E789PB3;Иванова;Мелания;Ильинична;71;FEMALE
kirillova.tatjana@gmail.com;+375442147689;4241286A297PB7;Кириллова;Татьяна;Денисовна;76;FEMALE
lazareva.miroslava@gmail.com;+375442678574;4180145K771PB2;Лазарева;Мирослава;Даниловна;47;FEMALE
antonov.ivan@gmail.com;+375441787199;3210215C110PB5;Антонов;Иван;Артёмович;28;MALE
martynova.esenija@gmail.com;+375441974382;3040247K931PB2;Мартынова;Есения;Борисовна;35;FEMALE
mironov.aleksandr@gmail.com;+375446922273;4050272A960PB9;Миронов;Александр;Павлович;46;MALE
kovaleva.aleksandra@gmail.com;+375443963255;3081112C817PB4;Ковалева;Александра;Андреевна;69;FEMALE
zhukov.timofej@gmail.com;+375446779312;3261101A161PB6;Жуков;Тимофей;Александрович;26;MALE
rakov.lev@gmail.com;+375444134274;5101202E161PB1;Раков;Лев;Артёмович;20;MALE
gorshkova.leja@gmail.com;+375446321983;4050227C288PB5;Горшкова;Лея;Николаевна;24;FEMALE
dementeva.valerija@gmail.com;+375445484652;4290231H264PB6;Дементьева;Валерия;Алексеевна;47;FEMALE
mironov.daniel@gmail.com;+375446133279;4121159C883PB8;Миронов;Даниэль;Михайлович;73;MALE
sorokina.veronika@gmail.com;+375448935371;4230295K594PB1;Сорокина;Вероника;Артёмовна;27;FEMALE
petrovskaja.elizaveta@gmail.com;+375441544816;4171221M295PB5;Петровская;Елизавета;Григорьевна;27;FEMALE
noskov.jaroslav@gmail.com;+375448651793;3070151H847PB2;Носков;Ярослав;Викторович;24;MALE
